OHLCData{timestamp=2021-01-04T13:00, open=133.9, high=134.06, low=133.86, close=133.86, volume=1013.0}
OHLCData{timestamp=2021-01-04T13:30, open=133.8, high=133.84, low=133.77, close=133.77, volume=400.0}
OHLCData{timestamp=2021-01-04T14:00, open=133.83, high=133.85, low=133.36, close=133.61, volume=1713.0}
OHLCData{timestamp=2021-01-04T14:30, open=133.52, high=133.59, low=131.31, close=131.39, volume=173496.0}
OHLCData{timestamp=2021-01-04T15:00, open=131.59, high=131.6, low=130.42, close=131.05, volume=93742.0}
OHLCData{timestamp=2021-01-04T15:30, open=131.08, high=131.29, low=130.46, close=131.0, volume=135964.0}
OHLCData{timestamp=2021-01-04T16:00, open=130.95, high=131.31, low=129.42, close=129.88, volume=189282.0}
OHLCData{timestamp=2021-01-04T16:30, open=129.86, high=130.08, low=128.8, close=128.81, volume=122093.0}
OHLCData{timestamp=2021-01-04T17:00, open=128.8, high=128.9, low=126.82, close=128.25, volume=138196.0}
OHLCData{timestamp=2021-01-04T17:30, open=128.12, high=128.56, low=127.65, close=128.43, volume=64240.0}
OHLCData{timestamp=2021-01-04T18:00, open=128.39, high=129.075, low=128.05, close=128.94, volume=108783.0}
OHLCData{timestamp=2021-01-04T18:30, open=129.03, high=129.17, low=128.64, close=129.165, volume=54561.0}
OHLCData{timestamp=2021-01-04T19:00, open=129.17, high=129.19, low=128.64, close=128.97, volume=91626.0}
OHLCData{timestamp=2021-01-04T19:30, open=128.965, high=129.57, low=128.655, close=129.55, volume=139647.0}
OHLCData{timestamp=2021-01-04T20:00, open=129.47, high=129.57, low=128.835, close=129.06, volume=80987.0}
OHLCData{timestamp=2021-01-04T20:30, open=129.08, high=129.74, low=128.76, close=129.58, volume=153603.0}
OHLCData{timestamp=2021-01-05T13:00, open=129.43, high=129.43, low=128.71, close=128.71, volume=1405.0}
OHLCData{timestamp=2021-01-05T13:30, open=128.74, high=128.83, low=128.44, close=128.44, volume=3472.0}
OHLCData{timestamp=2021-01-05T14:00, open=128.4, high=128.81, low=128.4, close=128.67, volume=2224.0}
OHLCData{timestamp=2021-01-05T14:30, open=128.96, high=131.46, low=128.46, close=131.3, volume=140365.0}
OHLCData{timestamp=2021-01-05T15:00, open=131.37, high=131.73, low=130.715, close=131.08, volume=114624.0}
OHLCData{timestamp=2021-01-05T15:30, open=131.085, high=131.345, low=130.44, close=130.54, volume=49072.0}
OHLCData{timestamp=2021-01-05T16:00, open=130.56, high=130.68, low=129.94, close=130.33, volume=48164.0}
OHLCData{timestamp=2021-01-05T16:30, open=130.345, high=130.645, low=130.21, close=130.29, volume=34473.0}
OHLCData{timestamp=2021-01-05T17:00, open=130.27, high=130.29, low=129.84, close=130.15, volume=48625.0}
OHLCData{timestamp=2021-01-05T17:30, open=130.145, high=130.34, low=129.86, close=130.15, volume=31985.0}
OHLCData{timestamp=2021-01-05T18:00, open=130.165, high=130.23, low=129.95, close=130.045, volume=23293.0}
OHLCData{timestamp=2021-01-05T18:30, open=130.07, high=130.625, low=130.07, close=130.605, volume=29105.0}
