OHLCData{timestamp=2020-07-27T04:00, open=91.240, high=92.350, low=90.990, close=92.330, volume=804492.0}
OHLCData{timestamp=2020-07-28T04:00, open=91.780, high=91.990, low=90.800, close=90.810, volume=606660.0}
OHLCData{timestamp=2020-07-29T04:00, open=91.320, high=92.670, low=91.320, close=92.490, volume=550088.0}
OHLCData{timestamp=2020-07-30T04:00, open=91.700, high=93.690, low=91.340, close=93.680, volume=1295888.0}
OHLCData{timestamp=2020-07-31T04:00, open=100.190, high=103.560, low=98.230, close=103.510, volume=3571408.0}
OHLCData{timestamp=2020-08-03T04:00, open=105.340, high=108.630, low=105.060, close=105.910, volume=5063024.0}
OHLCData{timestamp=2020-08-04T04:00, open=106.230, high=107.820, low=105.530, close=106.750, volume=941100.0}
OHLCData{timestamp=2020-08-05T04:00, open=106.480, high=107.380, low=106.040, close=107.130, volume=971928.0}
OHLCData{timestamp=2020-08-06T04:00, open=107.470, high=111.320, low=107.210, close=110.760, volume=1045452.0}
OHLCData{timestamp=2020-08-07T04:00, open=110.380, high=110.600, low=107.570, close=108.330, volume=1587500.0}
OHLCData{timestamp=2020-08-10T04:00, open=109.700, high=110.940, low=107.260, close=109.950, volume=2020932.0}
OHLCData{timestamp=2020-08-11T04:00, open=109.180, high=109.660, low=106.410, close=106.670, volume=1888484.0}
OHLCData{timestamp=2020-08-12T04:00, open=107.720, high=110.440, low=107.560, close=110.250, volume=1482092.0}
OHLCData{timestamp=2020-08-13T04:00, open=111.600, high=113.150, low=111.160, close=112.060, volume=1452820.0}
OHLCData{timestamp=2020-08-14T04:00, open=111.840, high=112.120, low=110.240, close=112.040, volume=2794008.0}
OHLCData{timestamp=2020-08-17T04:00, open=113.130, high=113.180, low=111.140, close=111.830, volume=2153380.0}
OHLCData{timestamp=2020-08-18T04:00, open=111.630, high=113.110, low=111.200, close=112.680, volume=905788.0}
OHLCData{timestamp=2020-08-19T04:00, open=113.100, high=114.200, low=112.740, close=112.890, volume=1132844.0}
OHLCData{timestamp=2020-08-20T04:00, open=112.920, high=115.440, low=112.910, close=115.390, volume=1029500.0}
OHLCData{timestamp=2020-08-21T04:00, open=116.530, high=121.740, low=116.310, close=121.320, volume=3099124.0}
OHLCData{timestamp=2020-08-24T04:00, open=125.500, high=125.580, low=120.870, close=122.670, volume=4004004.0}
OHLCData{timestamp=2020-08-25T04:00, open=121.600, high=122.060, low=120.050, close=121.830, volume=1813836.0}
OHLCData{timestamp=2020-08-26T04:00, open=123.100, high=123.820, low=121.980, close=123.370, volume=1299292.0}
OHLCData{timestamp=2020-08-27T04:00, open=123.990, high=124.300, low=120.780, close=121.960, volume=1803712.0}
OHLCData{timestamp=2020-08-28T04:00, open=122.910, high=123.290, low=121.490, close=121.730, volume=1822992.0}
OHLCData{timestamp=2020-08-31T04:00, open=124.470, high=127.740, low=123.220, close=125.900, volume=2563119.0}
OHLCData{timestamp=2020-09-01T04:00, open=129.500, high=131.430, low=127.330, close=131.120, volume=1773723.0}
OHLCData{timestamp=2020-09-02T04:00, open=134.240, high=134.530, low=123.840, close=128.310, volume=2997690.0}
OHLCData{timestamp=2020-09-03T04:00, open=123.700, high=125.580, low=117.500, close=117.990, volume=2676499.0}
OHLCData{timestamp=2020-09-04T04:00, open=117.080, high=120.600, low=108.160, close=118.100, volume=3867367.0}
OHLCData{timestamp=2020-09-08T04:00, open=110.870, high=115.950, low=109.890, close=109.950, volume=1622183.0}
OHLCData{timestamp=2020-09-09T04:00, open=114.290, high=116.160, low=112.530, close=114.420, volume=2158166.0}
OHLCData{timestamp=2020-09-10T04:00, open=117.190, high=117.320, low=109.710, close=110.640, volume=1143907.0}
OHLCData{timestamp=2020-09-11T04:00, open=111.760, high=112.320, low=107.300, close=109.290, volume=893292.0}
OHLCData{timestamp=2020-09-14T04:00, open=111.890, high=113.010, low=110.020, close=112.430, volume=1230251.0}
OHLCData{timestamp=2020-09-15T04:00, open=115.730, high=115.840, low=110.820, close=112.650, volume=1000868.0}
OHLCData{timestamp=2020-09-16T04:00, open=112.440, high=113.070, low=109.330, close=109.350, volume=1113898.0}
OHLCData{timestamp=2020-09-17T04:00, open=106.720, high=109.390, low=106.050, close=107.660, volume=1561236.0}
OHLCData{timestamp=2020-09-18T04:00, open=107.620, high=107.980, low=103.510, close=104.200, volume=1618432.0}
OHLCData{timestamp=2020-09-21T04:00, open=101.800, high=107.390, low=100.770, close=107.390, volume=1473785.0}
OHLCData{timestamp=2020-09-22T04:00, open=109.830, high=110.040, low=106.480, close=109.020, volume=1303096.0}
OHLCData{timestamp=2020-09-23T04:00, open=108.860, high=109.300, low=104.140, close=104.370, volume=800868.0}
OHLCData{timestamp=2020-09-24T04:00, open=102.550, high=107.430, low=102.400, close=105.420, volume=1992800.0}
OHLCData{timestamp=2020-09-25T04:00, open=105.760, high=109.640, low=105.080, close=109.550, volume=885266.0}
OHLCData{timestamp=2020-09-28T04:00, open=112.370, high=112.430, low=109.980, close=112.140, volume=808061.0}
OHLCData{timestamp=2020-09-29T04:00, open=111.740, high=112.410, low=110.800, close=111.290, volume=859040.0}
OHLCData{timestamp=2020-09-30T04:00, open=110.880, high=114.280, low=110.880, close=112.960, volume=587065.0}
OHLCData{timestamp=2020-10-01T04:00, open=114.740, high=114.740, low=112.960, close=114.040, volume=1799522.0}
OHLCData{timestamp=2020-10-02T04:00, open=110.020, high=112.500, low=109.450, close=110.200, volume=1941952.0}
OHLCData{timestamp=2020-10-05T04:00, open=111.100, high=113.690, low=110.750, close=113.640, volume=1739090.0}
OHLCData{timestamp=2020-10-06T04:00, open=112.840, high=113.200, low=109.470, close=110.390, volume=2027008.0}
OHLCData{timestamp=2020-10-07T04:00, open=111.750, high=112.610, low=111.300, close=112.200, volume=1339515.0}
OHLCData{timestamp=2020-10-08T04:00, open=113.380, high=113.490, low=111.760, close=112.110, volume=1680386.0}
OHLCData{timestamp=2020-10-09T04:00, open=112.410, high=114.090, low=112.100, close=114.040, volume=2214677.0}
OHLCData{timestamp=2020-10-12T04:00, open=117.080, high=122.070, low=116.340, close=121.320, volume=5236441.0}
OHLCData{timestamp=2020-10-13T04:00, open=122.120, high=122.260, low=116.720, close=118.080, volume=4680281.0}
OHLCData{timestamp=2020-10-14T04:00, open=117.890, high=119.920, low=116.650, close=118.140, volume=2515020.0}
OHLCData{timestamp=2020-10-15T04:00, open=115.770, high=118.190, low=115.240, close=117.680, volume=1971121.0}
OHLCData{timestamp=2020-10-16T04:00, open=118.210, high=118.510, low=115.910, close=116.020, volume=2678256.0}
OHLCData{timestamp=2020-10-19T04:00, open=116.980, high=117.390, low=112.780, close=113.140, volume=2387641.0}
OHLCData{timestamp=2020-10-20T04:00, open=113.250, high=116.020, low=112.770, close=114.560, volume=2196211.0}
OHLCData{timestamp=2020-10-21T04:00, open=113.770, high=115.730, low=113.590, close=113.970, volume=1815133.0}
OHLCData{timestamp=2020-10-22T04:00, open=114.490, high=115.070, low=111.750, close=112.920, volume=2362788.0}
OHLCData{timestamp=2020-10-23T04:00, open=113.470, high=113.650, low=111.450, close=112.170, volume=2127207.0}
